name,hashtags
entertainment,"['musique', 'rap', 'twitch', 'concours', 'appleevent', 'warzone', 'rêver', 'tiktok', 'live', 'music', 'apple', 'numérique', 'stream', 'skyrockdedicace', 'deezer', 'rapfr', 'rapfrancais', 'hiphop', 'youtube']"
incident,"['accident', 'incendie', 'sapeurspompiers', 'hérault', 'infotrafic', 'a57', 'a64']"
geluck,"['expo', 'surmaroute', 'champselysees', 'lechat', 'geluck', 'paris08']"
aah,"['aah17juin', 'aah', 'handicap', 'aahcouples', 'pantin', 'signezpournotreautonomie', 'députés', 'conseilmunicipal']"
tv shows (1),"['kohlanta', 'topchef', 'kohlanta2021', 'vincent', 'kohlantalesarmessecretes', 'laboitenoireubereats', 'topchef2021']"
tv shows (2),"['lmad', 'etsionserencontrait', 'mariesau1erregard', 'mariesaupremierregard', 'mapr', 'mapr5']"
nord est,"['metz', 'lorraine', 'alsace', 'pma', 'birkenwald', 'basrhin', 'météo', 'déportation', 'accessibilite', 'ovocyte']"
pets,"['chat', 'trouvé', 'chien', 'perdu', 'cat']"
paris (drug issues),"['19ème', 'stalingrad', 'avenuedeflandre', 'stalincrack', 'paris19', 'crackparis']"
wrestling,"['rawaftermania', 'wweraw', 'wrestlemania', 'wrestlemaniafr', 'smackdown', 'catchraw']"
